hash,author,date,title,file
6c2c8ff,Will Roberts,2015-04-17 00:23:05,tgrep._build_tgrep_parser: move tgrep_node_label up,nltk/tgrep.py
7452013,Will Roberts,2015-04-17 00:01:34,tgrep: add dummy _tgrep_label_node_action,nltk/tgrep.py
51007e5,Will Roberts,2015-04-16 23:56:49,test_tgrep: test_tokenize_node_labels,nltk/test/unit/test_tgrep.py
6283666,Will Roberts,2015-04-16 23:56:31,tgrep._build_tgrep_parser: allow node labels,nltk/tgrep.py
67869a7,Will Roberts,2015-04-16 23:48:19,tgrep: more stuff into tgrep_node_expr,nltk/tgrep.py
95bbd57,Will Roberts,2015-04-16 23:39:45,Merge branch 'master' into labeled_nodes
f6dd98c,Will Roberts,2015-04-16 23:33:46,test_tgrep.py: pylint cleanups,nltk/test/unit/test_tgrep.py
205dedc,Will Roberts,2015-04-16 23:28:02,test_tgrep: test_labeled_nodes,nltk/test/unit/test_tgrep.py
2adaf6f,Steven Bird,2015-04-08 07:59:28,Merge pull request #941 from morty/dont-swallow-oserror
d1ac54f,Tom Mortimer-Jones,2015-04-06 22:31:03,Don't swallow OSError when searching for binaries,nltk/internals.py
d01900c,Steven Bird,2015-04-07 05:53:48,Merge pull request #940 from smilli/kneser-ney
f77d3ca,Smitha Milli,2015-04-06 08:12:50,Fix param name in KneserNey,nltk/probability.py
42cb1c8,Smitha Milli,2015-04-05 23:49:27,Add warning when bins param not passed to SimpleGoodTuring,nltk/probability.py
324f000,Smitha Milli,2015-04-05 14:16:07,Add warning for when SimpleGoodTuring doesn't work,nltk/probability.py
9e279dd,Will Roberts,2015-03-30 16:06:05,test_tgrep.test_comments,nltk/test/unit/test_tgrep.py
d1b832c,Will Roberts,2015-03-30 16:05:55,tgrep: parse comments,nltk/tgrep.py
0a3f1e0,Will Roberts,2015-03-30 15:59:28,tgrep._build_tgrep_parser: define macro_name,nltk/tgrep.py
2986555,Will Roberts,2015-03-30 15:44:20,test_tgrep.test_bad_operator,nltk/test/unit/test_tgrep.py
0d6a2a6,Will Roberts,2015-03-30 15:44:06,tgrep._tgrep_relation_action: raise exception on bad operator,nltk/tgrep.py
e22f421,Will Roberts,2015-03-30 15:21:18,tgrep._tgrep_macro_use_action str format spec incompat w py26,nltk/tgrep.py
c5342eb,Will Roberts,2015-03-30 15:02:00,test_tgrep.test_use_macros,nltk/test/unit/test_tgrep.py
3252293,Will Roberts,2015-03-30 15:01:52,test_tgrep.test_tokenize_macros,nltk/test/unit/test_tgrep.py
f3d6186,Will Roberts,2015-03-30 15:01:34,tgrep: parse action for tgrep_exprs,nltk/tgrep.py
f3873ec,Will Roberts,2015-03-30 15:00:36,tgrep: parser action for macro_defn,nltk/tgrep.py
d21dd10,Will Roberts,2015-03-30 15:00:17,tgrep: parser action for macro_use,nltk/tgrep.py
18a61e1,Will Roberts,2015-03-30 14:59:47,tgrep: remove ambiguity in tgrep_relation grammar defn,nltk/tgrep.py
9dee04a,Will Roberts,2015-03-30 14:59:28,tgrep: add macros to the pyparsing grammar,nltk/tgrep.py
7255343,Will Roberts,2015-03-30 14:58:34,"tgrep: add arg ""m"" to all lambdas for macro definitions",nltk/tgrep.py
45835e6,Dmitry Sadovnychyi,2015-03-30 18:42:26,Use more clean variant of GAE runtime checking,nltk/data.py
45835e6,Dmitry Sadovnychyi,2015-03-30 18:42:26,Use more clean variant of GAE runtime checking,nltk/downloader.py
eb90961,Dmitry Sadovnychyi,2015-03-30 14:40:06,Add support for Google App Engine,nltk/__init__.py
eb90961,Dmitry Sadovnychyi,2015-03-30 14:40:06,Add support for Google App Engine,nltk/data.py
eb90961,Dmitry Sadovnychyi,2015-03-30 14:40:06,Add support for Google App Engine,nltk/downloader.py
ebc67b7,Will Roberts,2015-03-29 20:32:22,test_tgrep.test_node_nocase: cleanup comments,nltk/test/unit/test_tgrep.py
24d420e,Will Roberts,2015-03-29 20:12:34,test_tgrep: enable test case for case-insensitive node names,nltk/test/unit/test_tgrep.py
00c5ca8,Will Roberts,2015-03-29 20:12:00,tgrep: implement case-insensitive node names (issue #9),nltk/tgrep.py
4d5b92c,Will Roberts,2015-03-29 20:11:40,tgrep._build_tgrep_parser: remove unused line,nltk/tgrep.py
cd59d87,Will Roberts,2015-03-29 01:46:28,test_tgrep: more test cases,nltk/test/unit/test_tgrep.py
3817619,Will Roberts,2015-03-29 01:36:23,test_tgrep: remove method decorator for py26 compat,nltk/test/unit/test_tgrep.py
005eadb,Will Roberts,2015-03-29 01:31:30,test_tgrep: add more test cases,nltk/test/unit/test_tgrep.py
4a8a6d7,Will Roberts,2015-03-28 13:16:25,tgrep: remove more unicode literals,nltk/tgrep.py
2d39d15,Will Roberts,2015-03-28 13:13:30,tgrep: don't call .strip('/') for regexp node names,nltk/tgrep.py
a195b4e,Will Roberts,2015-03-28 13:11:54,tgrep: use unicode_literals,nltk/tgrep.py
76e8ac5,Will Roberts,2015-03-28 13:04:21,test_tgrep: use unicode_literals,nltk/test/unit/test_tgrep.py
81a96b8,Will Roberts,2015-03-27 21:34:57,tgrep: fix quoted node names (github issue #4),nltk/tgrep.py
5e4395e,Will Roberts,2015-03-27 21:32:05,test_tgrep: test_node_quoted,nltk/test/unit/test_tgrep.py
3424348,Steven Bird,2015-03-28 00:19:36,Merge pull request #932 from chrisji/develop
6884b5f,Chris Inskip,2015-03-27 12:51:11,Fix example for lin scored_synonyms,nltk/corpus/reader/lin.py
7d7db53,Will Roberts,2015-03-27 03:02:31,tgrep: fix issue #8,nltk/tgrep.py
d187b86,Will Roberts,2015-03-27 03:01:40,test_tgrep.py: test issue #8,nltk/test/unit/test_tgrep.py
6ae7c4b,Steven Bird,2015-03-25 23:46:19,Merge pull request #930 from anirudh708/develop
d2cfaa3,Anirudh,2015-03-25 16:41:48,MNT: fixed pep8 errors for files in tools folder,tools/find_deprecated.py
d2cfaa3,Anirudh,2015-03-25 16:41:48,MNT: fixed pep8 errors for files in tools folder,tools/global_replace.py
d2cfaa3,Anirudh,2015-03-25 16:41:48,MNT: fixed pep8 errors for files in tools folder,tools/nltk_term_index.py
d2cfaa3,Anirudh,2015-03-25 16:41:48,MNT: fixed pep8 errors for files in tools folder,tools/run_doctests.py
d2cfaa3,Anirudh,2015-03-25 16:41:48,MNT: fixed pep8 errors for files in tools folder,tools/svnmime.py
0805e24,Avital Pekker,2015-03-25 00:56:17,* Fixed indentation on demo() method,nltk/classify/textcat.py
13fc199,Steven Bird,2015-03-25 14:44:06,Merge pull request #892 from oplatek/dependecygraph_default_node
31c4d54,Steven Bird,2015-03-25 14:41:29,Merge pull request #926 from dimazest/bleu_another_fix
c6ecd6c,Avital Pekker,2015-03-20 12:46:13,* Removed old demo method and created a new one based on UDHR. No   external dependency on sample text files anymore.,nltk/classify/textcat.py
c2583ef,Avital Pekker,2015-03-19 21:02:59,* Changes to reflect all modifications discussed in https://github.com/nltk/nltk/issues/924,nltk/classify/textcat.py
30433d9,Dmitrijs Milajevs,2015-03-19 11:32:13,"In case there are 2 closest references, the shortest is preferred.",nltk/align/bleu_score.py
3b565ae,Dmitrijs Milajevs,2015-03-18 19:18:39,An attempt to fix #922.,nltk/align/bleu_score.py
2fd71c8,Steven Bird,2015-03-19 01:42:55,Update README.md
3e19510,Steven Bird,2015-03-19 01:41:52,Update README.md
0d44cec,Steven Bird,2015-03-18 17:29:27,tweak doctest,nltk/parse/transitionparser.py
6745291,Steven Bird,2015-03-18 17:27:36,Merge pull request #925 from longdt219/fix_transition_parser
a00033e,Long Duong,2015-03-18 16:23:36,Fix the minor doc test due to initialization,nltk/parse/transitionparser.py
da73484,Steven Bird,2015-03-18 16:03:06,Merge pull request #923 from avitalp/crubadan
b3a4200,Avital Pekker,2015-03-17 22:08:22,* Removed _load_all_ngrams,nltk/corpus/reader/crubadan.py
24e41e8,Steven Bird,2015-03-18 10:02:32,Merge pull request #918 from avitalp/crubadan
4f225c0,Avital Pekker,2015-03-14 19:13:32,* Language frequency distributions are now loaded on-demand rather   than all at init time.,nltk/corpus/reader/crubadan.py
345b658,Steven Bird,2015-03-13 14:54:46,"fix reference to python-crfsuite, cf https://github.com/nltk/nltk/commit/d24d94faac44e2e14f9de1cfcbdeb52be500b72e"
d24d94f,Steven Bird,2015-03-13 14:44:25,updated for 3.0.2
277799e,Steven Bird,2015-03-13 14:40:54,updates for 3.0.2
b01cfc7,Steven Bird,2015-03-13 09:10:50,"more clean ups, cf #845",nltk/classify/textcat.py
b01cfc7,Steven Bird,2015-03-13 09:10:50,"more clean ups, cf #845",nltk/corpus/reader/crubadan.py
ed84d4e,Steven Bird,2015-03-12 21:43:58,import bllip parser,nltk/parse/__init__.py
3f5664d,Steven Bird,2015-03-12 21:42:17,Merge branch 'bllip' into develop
5f8b301,Steven Bird,2015-03-12 21:40:49,"minor tweaks to conform with nltk coding style, don't download data",nltk/parse/bllip.py
476d597,Steven Bird,2015-03-12 20:59:57,Merge branch 'develop' of https://github.com/dmcc/nltk into bllip
9c5fd33,Steven Bird,2015-03-12 13:42:04,clean ups and python 3 fixes,nltk/classify/textcat.py
9c5fd33,Steven Bird,2015-03-12 13:42:04,clean ups and python 3 fixes,nltk/corpus/reader/crubadan.py
5e2afaf,Steven Bird,2015-03-12 12:55:30,Merge pull request #891 from oplatek/dep-parse-tree-svg-repr
717a560,Steven Bird,2015-03-12 11:43:27,Merge pull request #917 from longdt219/fix_CI_Errors
4c303f1,Long Duong,2015-03-12 11:11:53,Fix the bug related to projective dependency parser,nltk/parse/projectivedependencyparser.py
06b1fa4,Steven Bird,2015-03-11 15:33:51,remove import of model package,nltk/__init__.py
89a08d4,Steven Bird,2015-03-11 12:08:26,"reverting changes to probability.py and removing model package, due to premature merge of https://github.com/nltk/nltk/commit/504b0f74e32202195592febf525dc7d13bffa9e0 https://github.com/nltk/nltk/commit/4e02bc53c38c56cbe2b7242f0e9171964652382c https://github.com/nltk/nltk/commit/fc40e1611fc905ba2d5d2cc390c882146e2f6a03 https://github.com/nltk/nltk/commit/166983beabed0232a6488e5b7fa33ad72baa8849 https://github.com/nltk/nltk/commit/961565900b08ecb1b3821730c65d07178ad65c1c; cf #871, #800",nltk/model/__init__.py
89a08d4,Steven Bird,2015-03-11 12:08:26,"reverting changes to probability.py and removing model package, due to premature merge of https://github.com/nltk/nltk/commit/504b0f74e32202195592febf525dc7d13bffa9e0 https://github.com/nltk/nltk/commit/4e02bc53c38c56cbe2b7242f0e9171964652382c https://github.com/nltk/nltk/commit/fc40e1611fc905ba2d5d2cc390c882146e2f6a03 https://github.com/nltk/nltk/commit/166983beabed0232a6488e5b7fa33ad72baa8849 https://github.com/nltk/nltk/commit/961565900b08ecb1b3821730c65d07178ad65c1c; cf #871, #800",nltk/model/api.py
89a08d4,Steven Bird,2015-03-11 12:08:26,"reverting changes to probability.py and removing model package, due to premature merge of https://github.com/nltk/nltk/commit/504b0f74e32202195592febf525dc7d13bffa9e0 https://github.com/nltk/nltk/commit/4e02bc53c38c56cbe2b7242f0e9171964652382c https://github.com/nltk/nltk/commit/fc40e1611fc905ba2d5d2cc390c882146e2f6a03 https://github.com/nltk/nltk/commit/166983beabed0232a6488e5b7fa33ad72baa8849 https://github.com/nltk/nltk/commit/961565900b08ecb1b3821730c65d07178ad65c1c; cf #871, #800",nltk/model/ngram.py
89a08d4,Steven Bird,2015-03-11 12:08:26,"reverting changes to probability.py and removing model package, due to premature merge of https://github.com/nltk/nltk/commit/504b0f74e32202195592febf525dc7d13bffa9e0 https://github.com/nltk/nltk/commit/4e02bc53c38c56cbe2b7242f0e9171964652382c https://github.com/nltk/nltk/commit/fc40e1611fc905ba2d5d2cc390c882146e2f6a03 https://github.com/nltk/nltk/commit/166983beabed0232a6488e5b7fa33ad72baa8849 https://github.com/nltk/nltk/commit/961565900b08ecb1b3821730c65d07178ad65c1c; cf #871, #800",nltk/probability.py
7ba46b9,Steven Bird,2015-03-09 15:47:00,Merge pull request #912 from longdt219/fix_CI_Errors
7d12d2a,Long Duong,2015-03-09 15:31:29,Fix the bug related to chart.py shown in CI server.,nltk/parse/chart.py
d7d7b58,Long Duong,2015-03-09 14:41:50,Modify according to the recent name change,nltk/tag/crf.py
e82cf0d,Long Duong,2015-03-09 14:28:34,Fix Senna CI error message,nltk/classify/senna.py
b62b6d1,Steven Bird,2015-03-08 08:11:52,protect the import of pycrfsuite so it only fails at runtime,nltk/tag/crf.py
b62b6d1,Steven Bird,2015-03-08 08:11:52,protect the import of pycrfsuite so it only fails at runtime,nltk/tag/crfsuite.py
889b018,Steven Bird,2015-03-07 06:37:47,only fail importing crfsuite at runtime,nltk/tag/crfsuite.py
fd9a8d3,Steven Bird,2015-03-07 06:37:05,only fail importing crfsuite at runtime,nltk/tag/crfsuite.py
5acab37,Steven Bird,2015-03-06 17:52:03,import CRF tagger,nltk/tag/__init__.py
5acab37,Steven Bird,2015-03-06 17:52:03,import CRF tagger,nltk/tag/crf.py
ad9c538,Steven Bird,2015-03-06 11:20:41,Merge pull request #896 from longdt219/UpgradeMallet_104
15b64cd,Steven Bird,2015-03-05 18:47:36,Merge pull request #909 from longdt219/CI_not_build
ef1f6b3,Long Duong,2015-03-05 18:11:39,Delete what I added for investigation
feb4e08,Steven Bird,2015-03-05 13:48:19,Merge pull request #908 from longdt219/CI_not_build
3e7136f,Long Duong,2015-03-05 12:45:18,Add script for investigation
dc5ca7a,Long Duong,2015-03-05 11:35:43,"Allowing feature function, training options, fix some coding style",nltk/tag/crfsuite.py
447a4a5,Long Duong,2015-03-04 16:36:36,polish the code,nltk/tag/crfsuite.py
94c2350,Long Thanh Duong,2015-03-03 22:04:12,Add pip requirement for Python Crfsuite
fdc532d,Long Thanh Duong,2015-03-03 21:57:24,Remove Download script for CRF-Suite Add pip installation for python crfsuite
a07f7f3,Long Thanh Duong,2015-03-03 21:50:28,Add Python-crfsuite tagger,nltk/tag/crfsuite.py
e599920,Mikhail Korobov,2015-02-26 16:26:14,Merge pull request #900 from DavidNemeskey/hunpos_fix
cccab98,Dávid,2015-02-26 12:20:44,Making use of 'b'.,nltk/tag/hunpos.py
e262de6,Dávid,2015-02-26 11:48:06,Fixed the names of two authors.,nltk/tag/hunpos.py
d8754ad,Dávid,2015-02-26 11:39:06,Fixed a few PEP-8 issues in hunpos.py.,nltk/tag/hunpos.py
